Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bolivia,BOL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,44.31385532,46.23540258,43.8277512,41.54004432,40.022843,44.76703105,45.73691624,45.2547963,46.71684264,48.03236892,45.04504505,44.44444444,45.25139665,42.43630573,43.20566496,43.42381193,44.28387613,46.42875072,46.12103096,46.42442602,46.11378803,46.60920103,47.51949736,48.93585253,48.32160494,46.73082329,47.51039164,49.22034616,51.717168,54.22011404,52.16181899,52.65377361,52.29955001,51.28805363,49.2849687,46.82019459,43.13178535,42.50957065,40.49602264,43.50852723,43.55243052,41.01319172,40.44349193,40.21178174,41.46535064,45.97640027,49.80233242,48.73785341,49.09409568,50.71991513,52.86606892,
Brazil,BRA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,32.34709724,29.97335642,45.75337701,39.71433126,44.27865069,41.24162094,39.93016211,43.26159793,41.58989775,41.7404216,41.47177225,42.20243575,41.44430352,38.71448367,39.12885653,40.34872403,41.51516697,41.09207219,42.81938664,44.16091515,40.3921613,41.75996842,42.41902558,43.44155037,43.32850625,41.5153906,40.64470131,41.24641257,44.78031831,48.36730927,60.49660594,60.54979278,68.35745692,73.33788032,56.89434247,58.12141637,60.31887979,60.60571282,61.11859305,60.20365663,58.25186125,57.71369225,57.34814547,56.35782814,54.92047111,56.07589162,57.13812721,57.72623621,56.80486177,59.14505921,57.61292197,57.56816932,58.73360251,59.67875799,61.25097401,62.30786717,63.20369583,63.33867286,62.65335035,63.18556561,62.92238364,
Barbados,BRB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,58.71847925,63.81298234,62.11680801,61.38406406,61.87792034,50.94793713,53.43953592,54.40837249,53.22606597,53.23735696,56.17283951,54.64824928,54.27071179,54.3691717,55.02850062,70.99827032,70.51181102,71.52018396,70.60722892,71.93667668,72.15294909,72.82709297,71.95024876,70.43946347,70.59120768,71.26327831,71.501064,73.69225817,71.74170432,72.85382494,71.93480822,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,8.149224065,9.146693618,8.421262194,14.21406265,18.30494655,14.89396598,14.5410097,17.45894086,19.46742644,21.70016864,25.46322117,26.9765102,39.26707688,38.56125774,45.51968678,39.23575895,37.47552421,39.40522127,38.63571387,41.68753241,44.97291847,44.567462,42.57376404,42.72730984,47.05586578,43.58042837,35.30581414,38.82298634,38.24441176,34.63025728,31.01937757,27.49306737,26.11737208,28.00552591,25.25112879,33.68585576,32.50266453,27.35682101,28.2803647,31.24558064,32.83602448,39.43044999,42.97528702,40.85102253,37.33687722,38.17759858,41.45035468,
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,46.22976821,42.59149353,39.84766008,37.54315714,36.59963019,38.00755375,39.10806476,37.88949067,39.4170041,41.46061927,40.48934629,40.85559881,38.56894279,38.7820317,35.26025536,34.31404481,35.40290658,34.98590902,37.59391632,36.12569391,37.07403144,36.33030839,35.02068036,35.34237959,36.97466136,39.13304655,38.57765456,35.17700712,36.32665561,37.94330227,37.31218971,38.99847353,37.32027262,37.20227456,38.234779,38.61861691,38.32352226,38.05568269,39.92523723,43.46939255,43.67572519,
Botswana,BWA,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,43.12016263,45.90883382,48.49140389,50.5384158,48.30266301,46.95121951,46.34146341,43.75676286,43.89473684,41.76417642,39.448876,39.42731278,39.37844217,40.04131012,40.32219283,33.63792119,35.45595054,35.71334648,33.66397382,30.55971266,29.90722212,33.32220367,34.43854361,32.75265389,31.54774836,30.05257078,29.72601169,28.94681012,26.93763183,28.44991993,31.82627068,32.93138789,34.71322946,37.85698945,45.36143547,46.26401687,44.78038275,44.1444145,46.10473375,44.41073482,42.74691052,45.28806333,47.59738232,49.69706398,47.95429188,45.28381107,45.19900646,45.77186821,50.07248922,56.84573036,55.00872122,52.72138234,57.67138399,56.65599821,53.54901657,57.02839627,54.12490831,56.9232941,58.22380833,61.09186219,65.1796208,
Central African Republic,CAF,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.31143009,29.32937286,28.57003593,30.07332464,39.63574253,41.79309475,42.13239284,41.68102922,41.87957691,41.9693021,41.16695991,39.20330633,
Canada,CAN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.82292878,63.58332828,62.57092598,61.30066732,62.54146881,63.01576544,62.92361298,62.40435898,62.03346575,62.72319311,63.09642128,62.73445421,66.86904248,65.73341913,64.79820615,65.16324113,65.16744128,64.90199745,67.00099777,67.9588533,67.11667206,66.86584615,,,
Central Europe and the Baltics,CEB,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.68719805,51.16130762,51.57873274,52.73907548,53.90145052,55.18907226,55.61483586,56.31763191,55.97102374,54.6323178,54.98751153,54.84431153,54.72076865,54.804588,56.15884682,55.8261751,54.55702713,55.79974397,56.33167034,55.97010197,55.99079882,56.57731219,57.09553058,57.49752921,58.22124404,58.92183105,
Switzerland,CHE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.63633225,65.38979323,66.48442092,66.96493433,66.23002985,66.49236879,67.79689596,68.3529951,68.88233036,68.54006284,69.01591158,68.66745642,68.78921173,69.36597671,69.60472679,69.50550613,69.36018999,69.36906056,69.44089236,70.8330944,70.84473952,70.56671877,71.24845022,71.16580608,71.49214613,71.80021934,71.93346962,71.86012149,71.86470365,71.68581629,71.32120027,
Channel Islands,CHI,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,52.12192263,52.55687748,51.49531056,50.97631427,50.0990099,50.24726917,49.76407915,49.72746454,49.6933683,49.3957814,50.48213215,52.47324361,53.29927375,51.72394249,44.44468481,54.56459421,50.34698312,52.37653369,54.17094647,53.91999482,55.11256028,57.59641197,59.79705855,52.89858942,49.2840441,50.1638897,51.65858536,50.33046614,45.93355153,47.36795441,47.12759845,46.6087323,48.2021131,49.3314378,49.28211651,48.33633853,50.98905916,51.75426104,53.81973538,54.71050599,54.09561037,54.86507388,54.52879705,53.72508041,51.72329715,50.52023588,47.20970377,48.48961174,53.56901068,53.95332081,52.77835096,53.48734624,55.63419992,56.94649291,56.69632505,57.8926858,58.60187699,57.94109038,58.33093004,58.77638975,56.47894677,
China,CHN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,32.43316781,32.27298547,29.69368439,27.06881359,26.64126811,27.35870819,24.94308254,26.30698919,27.25187776,27.06146162,24.92871869,24.44543937,24.8119417,24.25078006,24.14329667,22.6879421,22.60590243,24.31076923,24.60446135,22.34259728,22.30837565,22.71406746,22.59369103,23.20325399,25.52931557,29.35332019,29.84707435,30.3607574,31.23777119,32.89243124,32.38277311,34.47853688,35.55580572,34.51599613,34.36265612,33.65293801,33.57027127,35.00567727,37.04332902,38.57534809,39.78765517,41.22312631,42.24794475,42.02821619,41.18314017,41.33592592,41.81684191,42.86966501,42.85977979,44.4066672,44.17699192,44.29305673,45.46330539,46.8804015,48.27094049,50.77164515,52.36209096,52.68473653,53.26996792,54.26890533,54.5260162,
Cote d'Ivoire,CIV,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,38.95329295,39.7141906,40.11403643,41.13268943,44.13483313,44.45429938,44.67408962,46.3588575,48.139977,51.0031091,49.63957643,49.42686989,50.46127585,51.20729653,58.44384368,54.71539784,59.1561964,60.57692373,57.63966928,56.53761127,54.37927357,54.87793326,54.58658185,56.63749814,56.31724318,53.71634569,50.2560256,48.45280203,45.30984862,45.49986319,41.23436157,42.10759371,41.54831379,49.03090119,53.69654556,54.50439419,36.93197077,34.44408129,34.09887944,36.00029172,34.67687694,35.18316691,35.47238704,36.19859438,38.37306866,38.81677837,37.94481923,38.76728707,37.77954521,38.66536012,37.8322011,34.01313525,39.68673699,38.81344497,37.3151438,47.77376273,46.76355428,46.20198826,43.29289877,43.11186661,42.13078787,
Cameroon,CMR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,46.96742434,47.48923426,48.76248682,48.99614951,49.84272134,49.99999742,49.76515068,49.17891394,50.58990027,52.59002423,52.63759775,53.42959811,47.96163197,52.68960283,48.5346698,39.5525445,37.65809138,36.97583532,39.08326584,35.82629161,40.5484221,42.60175858,43.61916487,44.81562146,43.21254851,44.8878536,44.6979222,45.77347915,47.41899461,44.83161563,45.91205441,45.10764732,45.31126127,45.56927279,45.67887849,45.02945268,46.4356337,45.95072432,45.90001699,48.11040194,48.16268604,47.92962074,49.1015544,49.59949992,50.62330927,50.63272793,51.77038188,50.76169207,50.3174153,50.42782014,49.56032169,50.46646052,50.3626878,50.44644882,51.02687348,51.98248609,
"Congo, Dem. Rep.",COD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.78400571,25.79199731,33.52092023,29.92624912,30.98629447,28.29447186,44.51341862,34.54500012,38.05159829,41.98880955,40.17397566,43.40486397,44.51534982,43.56057551,38.72670525,38.35326828,35.37742181,33.11420829,33.1820626,32.33237873,31.70146247,33.10437481,33.82743725,33.75029293,32.51574603,34.10908115,35.70764289,
"Congo, Rep.",COG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,59.37167432,61.49744777,62.30312339,61.2734071,61.08809667,61.9341601,61.0701107,60.2739658,61.09324759,62.8446809,58.15789474,60.99212142,62.31884058,62.16887417,59.47480483,53.10218978,48.91846922,52.92553191,54.46293495,49.2941098,41.70365982,41.22207864,39.57746479,38.08808809,36.49453312,38.63826638,55.26430699,52.27446053,56.2168437,49.08644962,46.49606299,52.64732666,52.96239052,53.45349296,44.20171831,44.67903806,39.17057783,33.99719702,42.9875663,30.37328365,22.54307525,28.71161451,30.41949736,32.55241658,28.62610962,29.40113836,30.46417996,35.73651104,29.22961209,33.83048985,25.43317935,25.53722373,26.98567998,28.58568255,31.80597384,39.62167026,48.49920879,44.13206891,36.54164111,40.3804782,53.70434198,
Colombia,COL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,46.46210819,46.78037798,45.93628704,46.19472307,47.14664184,47.54383586,49.26677187,47.76598774,45.84059878,46.10588615,47.61396961,46.12922013,45.04007519,47.25828956,49.02377742,48.82783558,50.30868385,50.71469244,50.80590687,49.82538952,48.15532303,45.57961189,46.26912083,46.56864667,46.75764432,48.30316453,48.63496653,51.21548417,51.66193026,52.82602565,53.93343978,57.21606322,58.39443372,58.91641643,58.22485012,57.19437398,57.16467937,56.45862801,54.90278874,54.15255945,53.17051231,52.51071792,52.95491778,52.0115244,53.48004482,53.39907363,51.44009189,51.98730096,53.35117415,54.63407537,56.21554582,56.89861562,57.60833313,57.65268159,58.10441619,59.54204781,
Comoros,COM,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,54.53308651,54.53386813,54.53477988,54.53437414,54.5338521,54.53434562,54.5347358,54.53478972,54.53466689,54.5344386,54.53449602,54.53474085,54.5347166,54.53453734,54.53464751,54.53417981,54.53438631,54.53411477,54.53446265,54.53433593,54.5341781,54.53452356,54.53450229,54.53452342,54.5343191,54.53455498,54.53429268,54.29878828,55.78442512,53.52016084,53.18996756,53.60208631,54.04155441,53.05639733,53.78012887,54.89954383,54.1737475,54.1994429,52.65035791,51.78825613,50.78860523,
